"","IN_S3","RM_S3Full","RM_S3Three","OK_S3","Study3rawdataset.Condition_S3"
"X549",1.83333333333333,4.2,4,5.2,1
"X550",1.66666666666667,4.4,1,1.1,0
"X551",1.16666666666667,2.3,2,1.5,0
"X552",2.16666666666667,5.3,5.33333333333333,1.55,0
"X553",1.33333333333333,1.2,1,2.45,0
"X554",4.33333333333333,3.4,3,1.6,1
"X555",5.16666666666667,3.9,5.66666666666667,5,1
"X556",2.33333333333333,1.6,1,1.9,0
"X557",1.16666666666667,2.2,1.66666666666667,2.8,0
"X558",4.5,5.5,5.33333333333333,4.15,1
"X559",4.66666666666667,4.1,6,4.85,1
"X560",2.16666666666667,5.8,5.66666666666667,2.7,0
"X561",1.66666666666667,3.6,3,1.75,0
"X562",2,2.8,2,1,0
"X563",3.83333333333333,4,3.66666666666667,4,0
"X564",4.33333333333333,4.2,3.66666666666667,4.45,1
"X565",3.66666666666667,4.1,2.66666666666667,2.65,1
"X566",4,4.1,1.66666666666667,3.1,1
"X567",5,5,4.66666666666667,4.15,1
"X568",4,4.1,5,4.4,1
"X569",5.16666666666667,4.2,4.66666666666667,4.75,1
"X570",1.5,1.6,1,1.2,0
"X571",1.83333333333333,4.2,2.33333333333333,2.4,1
"X572",1.66666666666667,5.4,4.66666666666667,3.2,0
"X573",4,2.5,2,2.55,1
"X574",4.5,4.4,2.33333333333333,2.4,0
"X575",3.5,4.4,3,4.95,1
"X576",1.5,2.1,2,1.7,0
"X577",3.5,4.3,3.33333333333333,3.85,1
"X578",1.83333333333333,1.7,1.33333333333333,4.45,0
"X579",5,3.8,3.66666666666667,4.1,1
"X580",2.66666666666667,3.7,3,1.4,0
"X581",4,4.4,1.66666666666667,1.15,1
"X582",3,3.3,2,4.4,0
"X583",4,4.3,2,2.25,1
"X584",5.16666666666667,4.6,3.33333333333333,1.1,1
"X585",1.16666666666667,3.2,3,1.15,0
"X586",1.16666666666667,1,1,1.4,0
"X587",3.83333333333333,4,2,2.35,1
"X588",2.83333333333333,1,1,1,0
"X589",3.83333333333333,5.4,5.33333333333333,3.75,0
"X590",2,4.2,4,4.9,0
"X591",1.5,1.4,1,1,0
"X592",3,4.1,3.66666666666667,2.15,1
"X593",2.33333333333333,1.8,1.66666666666667,1.3,0
"X594",2.5,4,1,2,1
"X595",2,2.7,2.66666666666667,2.2,0
"X596",2.66666666666667,4.3,2.33333333333333,3.2,1
"X597",3.33333333333333,4.6,2.66666666666667,2.75,0
"X598",1.5,1,1,1.5,0
"X599",7,4.7,7,6.4,1
"X600",4.16666666666667,4,3.66666666666667,3.95,1
"X601",2.5,2.5,2,1.5,0
"X602",5.83333333333333,4.5,3,2.4,1
"X603",1.5,2,1.66666666666667,1.7,0
"X604",2.5,2.2,1,3.55,0
"X605",2.83333333333333,4,2.33333333333333,2.75,1
"X606",2.5,3.8,2.33333333333333,2.85,1
"X607",3,4.8,4,4.9,0
"X608",3,3,1.33333333333333,6,1
"X609",3,3.9,1.33333333333333,3.9,1
"X610",3.66666666666667,4.1,4.66666666666667,2.7,1
"X611",2.16666666666667,4.2,4,3,0
"X612",4.16666666666667,3.8,3.66666666666667,4.75,0
"X613",3.16666666666667,4.1,4.66666666666667,4.35,1
"X614",2.5,3.6,1,3.75,1
"X615",3.66666666666667,3.4,2.33333333333333,3.65,1
"X616",3.66666666666667,1.5,2,1,0
"X617",2,5.2,5,1.7,0
"X618",2.5,5.1,2,1.15,1
"X619",5,5.1,4.33333333333333,4,1
"X620",2.16666666666667,4.4,2.66666666666667,1.75,0
"X621",2.33333333333333,2.4,2,2.55,0
"X622",5.5,6.6,6.33333333333333,3.9,1
"X623",3.33333333333333,4.2,4.33333333333333,4.1,0
"X624",2.66666666666667,3.9,4,2.7,0
"X625",1.16666666666667,3.6,2.33333333333333,2.25,0
"X626",2,3.7,2.33333333333333,1.45,0
"X627",4,3.3,3,1.5,1
"X628",2.33333333333333,3.4,2.66666666666667,2.75,0
"X629",1.83333333333333,2.7,3.33333333333333,1.55,0
"X630",2.66666666666667,4,1,1.65,1
"X631",2,3.9,4,5.6,1
"X632",1.5,5.4,3.33333333333333,2.5,0
"X633",4,4,4,4,1
"X634",5.33333333333333,4.1,5.33333333333333,3.5,0
"X635",2.5,3.8,2.66666666666667,2.85,1
"X636",2.66666666666667,4.5,3,1.95,0
"X637",1,1,1,2,0
"X638",1.16666666666667,2,1.33333333333333,1.45,0
"X639",2.16666666666667,3.9,3.33333333333333,4.75,1
"X640",3.16666666666667,3.9,2,3.25,1
"X641",4.5,4.1,3.66666666666667,3.4,1
"X642",5,4.6,4.66666666666667,4.1,1
"X643",2.33333333333333,3.9,3,3.4,0
"X644",3.16666666666667,3.3,2.66666666666667,3.45,1
"X645",2.66666666666667,3.8,2.66666666666667,3.85,0
"X646",1.5,5.8,4.66666666666667,1.75,0
"X647",NA,NA,NA,NA,1
"X648",NA,NA,NA,NA,1
