"","IN_S3","RM_S3Full","RM_S3Three","OK_S3","Study3rawdataset.Condition_S3"
"X127",1.83333333333333,3.5,3.33333333333333,2,1
"X128",4.16666666666667,4,3.66666666666667,5.2,1
"X129",2,3.4,2.33333333333333,2.5,0
"X130",5.16666666666667,3.8,3,3.85,1
"X131",1.33333333333333,4.9,4,1.3,0
"X132",3.5,3.9,3,4.2,1
"X133",2.5,2.1,2.33333333333333,1,0
"X134",1,2,1.33333333333333,2.1,0
"X135",4,4.1,2.33333333333333,1.6,1
"X136",2.83333333333333,3.8,3.33333333333333,3.1,1
"X137",5.66666666666667,3.8,2,4.6,1
"X138",3.16666666666667,4,1,2.8,1
"X139",2.66666666666667,6.2,7,3.2,0
"X140",2.33333333333333,4.3,2.33333333333333,2.5,0
"X141",2,5.1,3.66666666666667,1.2,0
"X142",7,4.9,6.33333333333333,4.3,1
"X143",3.5,5.1,4.66666666666667,4.25,0
"X144",1.5,3.1,3,3.15,0
"X145",1.66666666666667,1,1,1,0
"X146",2,2.6,1.33333333333333,3.85,0
"X147",1.5,1.4,1,1.15,0
"X148",2.33333333333333,5.6,5.66666666666667,2.95,0
"X149",2.33333333333333,6.3,5.66666666666667,3.75,0
"X150",3,3.5,3.66666666666667,3.6,0
"X151",2.83333333333333,4,1.33333333333333,2.75,1
"X152",2.83333333333333,3,2.33333333333333,2.05,0
"X153",1.83333333333333,6.3,6.66666666666667,4,0
"X154",3,4.2,2,1.1,1
"X155",5,4.7,3.66666666666667,2.55,1
"X156",3.66666666666667,4.3,3.33333333333333,4.05,1
"X157",5.66666666666667,5.6,5.33333333333333,4.55,1
"X158",2.83333333333333,4.5,6,4.55,1
"X159",1.33333333333333,4.8,1.66666666666667,2.35,0
"X160",3.83333333333333,4,2,2.75,1
"X161",4,4.1,6,5.25,1
"X162",2.66666666666667,4,2.33333333333333,4.9,1
"X163",1.33333333333333,2.8,1.66666666666667,2.6,0
"X164",2.33333333333333,3.6,3.33333333333333,5.5,1
"X165",3.83333333333333,4.2,4.33333333333333,4.25,1
"X166",2.33333333333333,3.1,3,3.45,0
"X167",2.33333333333333,3.4,3.33333333333333,3.3,0
"X168",1,1,1,1,0
"X169",4.83333333333333,3.9,4.66666666666667,5.05,1
"X170",4,3.7,4.33333333333333,4.5,1
"X171",3.83333333333333,3.6,2.33333333333333,2.9,1
"X172",3.33333333333333,4.2,2.33333333333333,3.55,1
"X173",2.83333333333333,1.4,1.33333333333333,4.3,0
"X174",3.33333333333333,1.6,1,1,0
"X175",3.33333333333333,3.6,4.66666666666667,6.2,1
"X176",4,4.4,3.33333333333333,4.45,1
"X177",2.66666666666667,2.4,3.33333333333333,1.5,0
"X178",2.5,2.2,2.33333333333333,1.3,0
"X179",1.83333333333333,3.6,1.33333333333333,2.6,1
"X180",6.16666666666667,4.5,6.33333333333333,4.9,1
"X181",2.5,2.8,2.33333333333333,2.7,0
"X182",2,3.3,1.33333333333333,5.35,0
"X183",3.16666666666667,2.4,2.33333333333333,2.4,0
"X184",4.66666666666667,4,4.66666666666667,2.5,1
"X185",2.66666666666667,4,2.66666666666667,3.15,0
"X186",1,7,7,2,0
"X187",2.66666666666667,1,1,5.6,0
"X188",1.33333333333333,4.8,3.33333333333333,1.5,0
"X189",4.16666666666667,4.2,4.33333333333333,4.1,1
"X190",3.66666666666667,4.2,3,3.5,1
"X191",4.33333333333333,3.6,5,4.7,1
"X192",2.83333333333333,3.2,1.66666666666667,1.65,0
"X193",1.66666666666667,1.2,1,1,0
"X194",4.33333333333333,4,2,3.2,1
"X195",1.66666666666667,1.5,1.33333333333333,1.65,0
"X196",2,7,7,4.55,0
"X197",3.16666666666667,4.5,4.66666666666667,5.85,1
"X198",4,4,3,3.2,1
"X199",2,4.6,4,1.6,0
"X200",1.5,2.8,2,2.25,0
"X201",2,1.8,1.66666666666667,3.4,0
"X202",2,4.4,2.66666666666667,2.4,0
"X203",2.83333333333333,4,2.33333333333333,3.15,1
"X204",2,3.3,2.33333333333333,3.5,1
"X205",3.16666666666667,4.1,1,3.8,1
"X206",4,3.5,3.33333333333333,4.5,0
"X207",4.5,4.2,3.66666666666667,4.1,1
"X208",2.66666666666667,4.2,4.66666666666667,2.5,0
"X209",2,2.5,2,3.1,0
"X210",1.83333333333333,2.5,2.33333333333333,2.75,0
"X211",1.16666666666667,2.4,1,1.75,0
"X212",4.66666666666667,3.7,2.66666666666667,4.2,1
"X213",2,1.6,1.66666666666667,2.25,0
"X214",2.33333333333333,1.4,1,1.8,0
"X215",2.33333333333333,5.5,4.33333333333333,3.55,0
"X216",2,2.7,1,5.55,0
"X217",3.83333333333333,4.4,2.33333333333333,1,1
"X218",1.16666666666667,2.6,1.33333333333333,2.35,0
"X219",2.83333333333333,4.5,3.33333333333333,2.7,1
"X220",3.33333333333333,4,3.33333333333333,3.2,1
"X221",3.33333333333333,3.8,2,2.5,1
"X222",1.66666666666667,4,2.33333333333333,3.7,0
"X223",2.83333333333333,4.3,3,1.05,1
"X224",3.5,4.9,4.33333333333333,2.45,0
"X225",3.5,2.8,1.66666666666667,3.9,1
"X226",2.66666666666667,3,1.66666666666667,4.9,0
"X227",3.33333333333333,4.4,4,4.2,1
"X228",2.33333333333333,2.9,2,4.45,0
"X229",3.83333333333333,4,1,3,1
"X230",3.83333333333333,4.5,4.33333333333333,2.9,1
"X231",3.5,5.1,5,3.7,0
"X232",2.16666666666667,3.1,1,1,0
"X233",3,5.5,3.33333333333333,3.75,0
"X234",3.66666666666667,3.8,3,4.05,0
"X235",1.66666666666667,1.1,1,3.65,0
